S+,S-,C
0.030827414473668564,0.3968162029287218,0.9279133062690806
0.12181770601572132,0.2789893291259968,0.6960689425707091
0.2041658032585981,0.19500523556744884,0.4885255106205973
0.20735257003951302,0.192037926790226,0.48082748166161837
0.27566715872714526,0.12297119939168927,0.30847809019680794
0.277704590332303,0.1208371671003193,0.3031982592708572
0.30326917307930606,0.09517592520883159,0.23886835505755077
0.31887328594293846,0.07948061283045806,0.19952261814229308
0.32869540364445465,0.06961465830247689,0.17477504324696655
0.3450936187076245,0.053094316236698545,0.13333984176120883
0.34636304929562284,0.051823334268113044,0.13014843401800535
0.3505031410784193,0.04771805664417572,0.11982801748644382
0.35878433390468606,0.03937452547617728,0.09889149656849186
0.3650389011784712,0.033004333545531894,0.08291645395861728
0.36666684512285835,0.03153162740063651,0.07918570656690817
0.3671217397040556,0.030931771818368505,0.07770757177864009
0.3953012918434734,0.028421342903943513,0.06707534734575983
0.39671263969849496,0.028046837392841216,0.06602992730121074
0.39662546183654807,0.027783630224967187,0.06546426724746071
0.396648697459643,0.027466417290578568,0.06476170345108932
0.39672431032347605,0.02746297550500591,0.06474257108241199
0.3967179948095589,0.027428043711646047,0.06466650922232955
0.39671971779279624,0.027420165596607194,0.06464887333274598
0.39672377390183144,0.027268889969984625,0.0643145325227342
0.3967139806678585,0.027225686769873456,0.06422066360155446
0.39671831033749444,0.027224125201860808,0.06421656083384356
0.3967276053832115,0.02715803844259268,0.06406925744754233
0.3967239983092846,0.027137454801778618,0.06402435183146477
0.3967257545504368,0.02706779099225306,0.06387022944766971
0.3967038731135087,0.02706154227746107,0.06385972355128096
0.3967290978603679,0.027061991816045055,0.06385691553049953
0.39661690336132716,0.027003522215053914,0.06374461802287443
0.39672917396516466,0.026873897917779624,0.06344122529216639
0.39673361278190594,0.02680039176488181,0.06327801658702749
0.3967351739262185,0.026768221861356675,0.06320662863063164
0.39672582458398725,0.026765500852493445,0.06320200496410874
0.3967285672211035,0.02674222780260638,0.06315011121630973
0.3967376383667606,0.02673576639743927,0.06313446392773209
0.39671861789156926,0.026731261429231604,0.06312733273677544
0.396732644889847,0.026721794094364287,0.06310429560843646
0.39406745364679774,0.026496975926132853,0.06300336895595204
0.39673327221910704,0.026642880742301842,0.06292957351504481
0.39670677688285494,0.026591066912399337,0.0628188102117081
0.3967279353360365,0.026559608113819383,0.0627460186930016
0.39673660397711297,0.026474881171270895,0.06255709521207449
0.39674354273802365,0.02638581757224796,0.06235874899557859
0.3967388095824004,0.026383136600951602,0.06235350550576019
0.3967042627253209,0.02633658484511544,0.0622554181147493
0.39674330647967343,0.026305192201109873,0.06218008640413305
0.39672468479910555,0.02620865526823604,0.061968761469745955
0.39674727939082466,0.026197681156967148,0.06194111196652235
0.3967435808274223,0.026187818048462024,0.061919777339935075
0.3734977318778974,0.024649890762473224,0.06191143525862113
0.3967405893020816,0.026151530466224943,0.06183972044821455
0.39670545490621373,0.026135718928338336,0.06180977763193098
0.39673646107361615,0.02611889696630464,0.0617679224578699
0.396744793135663,0.026111853330884203,0.06175107698809683
0.396746632913063,0.026087311436695307,0.06169635097960938
0.39674595988377903,0.02606766373241679,0.06165284720361661
0.39674184134044416,0.02603584147800486,0.061582818904812625
0.3967462602700859,0.025987128534100887,0.06147403830015025
0.3967485447985542,0.025948916141603134,0.06138886210456042
0.3967487283132084,0.0259243982143596,0.06133438959637462
0.39674563321891154,0.025883574103329206,0.06124416783053482
0.39673234773670407,0.025870197104600475,0.06121637794281441
0.3956338995030348,0.025774831503927044,0.061163496642173826
0.39675181683173366,0.02582585484459087,0.06111504837002442
0.39675342128607705,0.02577793021993171,0.06100832548413896
0.39675448794049234,0.025747187168023922,0.06093984636016166
0.39674905200910654,0.025724988814515914,0.060891288762652686
0.3967536549311198,0.025707284632672724,0.06085126984571994
0.3967449909075395,0.02565681961897374,0.060740316399196206
0.3967523690752151,0.025637284034374912,0.06069581450595632
0.39675388936131434,0.02562188422455497,0.06066134903295068
0.39675404586486485,0.025414272621498195,0.06019938377332105
0.39676224029953133,0.025278843213016794,0.05989664087350682
0.3967588362386024,0.02526640635029647,0.0598694196472718
0.3904708031416228,0.024800324090208225,0.05972080037330188
0.39676175532582003,0.025196210910976655,0.05971260866499889
0.37434046339650884,0.023768676546166472,0.0597039207630073
0.3967580397843722,0.025163744690286094,0.05964078086562391
0.3967642860142661,0.025089023830095234,0.05947333645278636
0.39676482469017615,0.025069236867610003,0.059429143239481674
0.3967641270357693,0.0250652751622192,0.059420407945993875
0.3967674020073094,0.025023208646909205,0.059326139593522335
0.39676933760234856,0.024880303535392435,0.05900705492896351
0.3967719233193204,0.024760752813833255,0.05873981832433753
0.3967678284475584,0.024709778460145375,0.05862655110300174
0.3967608824434294,0.024676564579468784,0.05855332684313651
0.396766804849846,0.024659133472907793,0.05851356366684368
0.39677391753601443,0.024628804928099796,0.058444816834796624
0.39676480095026034,0.024621597083625702,0.058429975904551484
0.3967716551997338,0.024613347621357654,0.05841059234803335
0.39677081973262646,0.02458876554683373,0.0583557759354771
0.3967299784692988,0.0245313425180529,0.058233075993201495
0.39677938562509985,0.024508490520113703,0.058175162182131916
0.3967768732020052,0.02449370007490273,0.058142442479129974
0.3967774724883973,0.02434704689605974,0.0578143655269633
0.39676912376448953,0.024315308885164495,0.05774449730226681
0.3967823957775545,0.024229159229993153,0.0575498675554375
0.39678184394369,0.02421332064339603,0.05751448634129697
0.3967784217643292,0.02414241750214153,0.05735619444314987
0.39678641228017103,0.024067758534293892,0.05718788170191202
0.3967827295891302,0.024049483884811044,0.057147440511467015
0.3967861635100863,0.024017190947535134,0.057074618567361915
0.39679145115711123,0.023923045020038034,0.05686289689900491
0.3967913627997052,0.023903031060949032,0.05681804038697597
0.39679183357931114,0.023820945131478984,0.056633907330376355
0.3967893754883886,0.023735542667351117,0.056442654507718744
0.39679463442767277,0.023727413170662997,0.056423707879702856
0.3967939980796496,0.023679198358581635,0.056315595284467036
0.39676281134182106,0.023663360479698303,0.05628422316616375
0.39679594544714974,0.023651284326164465,0.05625268202841091
0.3967957446627178,0.023649509749646514,0.056248725610425244
0.39679807600887906,0.023614217705589184,0.056169189290233436
0.39680038555786545,0.023559058548410176,0.05604503212363644
0.37575844537196135,0.02229248351577354,0.05600409871687762
0.396802063286186,0.023447683730331407,0.055794640917201606
0.39680178605714644,0.023430729646157836,0.055756584201829294
0.3968057981760134,0.02319101687942575,0.05521712557835601
0.39680372923859847,0.02319031881603339,0.05521582728004957
0.39678897923714973,0.023178250529546095,0.0551906169974793
0.3968095131787241,0.02312701718889427,0.055072649118304985
0.39681060889574804,0.02309944449744709,0.05501045833693637
0.39681151479232707,0.022925253799356497,0.054618169087917084
0.3968046503698262,0.02284990164093037,0.05444931201495625
0.39680184650262873,0.022844319823485244,0.054437098814653646
0.3968186126326584,0.02267484414919741,0.054052914968322714
0.3967931986217071,0.022648888869500092,0.053997654372190014
0.3968183855557256,0.022643575028984144,0.05398242786406685
0.39680879940232094,0.022634857818941288,0.053964000716790174
0.3968219988821195,0.022610019014799983,0.053906278133389114
0.39682230124341744,0.022598206350224144,0.053879593250882644
0.39682037282635185,0.02255250662731668,0.053776740777077926
0.39681879633778666,0.022546548104084897,0.05376349858878261
0.39682069484251664,0.022545177328026647,0.053760162245291655
0.39682451202440333,0.022362894329446388,0.05334820176007182
0.3968289342332317,0.022335888090199308,0.05328664740135267
0.39683250423261546,0.022107765049153082,0.052770685155319755
0.3968364124936146,0.021982090894841242,0.052485959232925206
0.39683885856664736,0.021959896202305783,0.05243543814837947
0.3968377864927975,0.02194398852934175,0.052399578582858965
0.396841117490395,0.02180844794167017,0.052092369710602396
0.3968443619100273,0.0217749812972182,0.05201618523021302
0.3968353419462194,0.021748790867572417,0.051957991626136055
0.3968452750920681,0.021719942838501115,0.051891418369368614
0.3968436426356177,0.02169233962778766,0.051829091277833306
0.3968406764525173,0.021690378087177036,0.051825014779446614
0.3968389375071929,0.02166622962689986,0.05177051880928822
0.3968450034859026,0.021565898678461808,0.05154239186145793
0.37758477650825667,0.02049897152280646,0.05149411806986627
0.3968468186192803,0.021518722018636964,0.051435216164853234
0.3776044960568665,0.020433906954153556,0.0513365212993979
0.39685218901513986,0.021388965919507792,0.05114027079150049
0.39685805169909555,0.021288162346338752,0.05091080973897245
