w_DCN,w_BCN,w_CCN,w_ECN,w_Node
107,107,107,1912,107
1684,1684,58,2266,1684
1912,3437,428,2206,3437
3437,1912,563,2233,1912
0,1085,1684,2464,1085
2543,0,171,2142,0
2347,698,348,2218,698
1888,567,483,2078,567
1800,58,414,2123,58
1663,428,376,1993,428
